seller,processed date,model_colorway,size
thatgyal,2025-04-21 05:11 (UTC),SZ 13M Jordan 6 Maroon #JSEE8103 🤍🤍❤️🤍,"13,,"
ajsolesss,2025-04-21 05:08 (UTC),Jordan 3 White Cement Reimagined - Used  - 7Y,"7Y,,"
toptierfunko,2025-04-21 04:28 (UTC),"NIKE AIR FORCE 1 LOW '07 LV8 ""SPLIT LIGHT PHOTO BLUE DEEP ROYAL"" SIZE 14M OG BOX","14,,"
clamskicks,2025-04-21 04:13 (UTC),"M 12 NIKE SB DUNK HIGH ""PAUL ULRICH"" (2007) MENS 12 VNDS OG BOX","12,,"
theshoegameco,2025-04-21 02:49 (UTC),Nike KD 4 Scoring Title SZ 13,"13,,"
845kickz,2025-04-21 01:39 (UTC),Nike Dunk Low Vintage Coral,"13,,"
jruth89,2025-04-21 01:27 (UTC),Jordan 3 George Town,"13,,"
jruth89,2025-04-21 01:24 (UTC),Jordan 13 Chutney low,"13,,"
jruth89,2025-04-21 01:23 (UTC),Jordan 1 Retro Mid black white,"13,,"
the_shrimpshack,2025-04-21 01:16 (UTC),Nike Dunk Low USC,"13,,"
kcole0587,2025-04-21 00:42 (UTC),"(320) Jordan 5 ""DJ Khaled"" 13M","13,,"
trumannkicks,2025-04-21 00:30 (UTC),jordan 4 yellow thunder size 13m no box used rep insole,"13,,"
theshoegameco,2025-04-20 22:22 (UTC),Jordan 1 Retro Low 85 Metallic Blue SZ 13 #1,"13,,"
grailed804,2025-04-20 17:01 (UTC),"Size 13M Jordan 1 Low Mocha - Pre Owned , Original Box","13,,"
aftermarketnyc,2025-04-20 16:41 (UTC),Jordan 1 Low True Blue,"7w,,"
grailed804,2025-04-20 16:09 (UTC),"Size 14M Jordan 6 Wheat - Preowned, Original Box","14,,"
grailed804,2025-04-20 15:52 (UTC),"(2016) Size 13M Jordan 1 Mid Gym Red White Black - Brand New, Original Box","13,,"
grailed804,2025-04-20 15:29 (UTC),"Size 13M Jordan 3 Knicks - Preowned, Original Box","13,,"
grailed804,2025-04-20 15:26 (UTC),"Size 13M Jordan 1 Midnight Navy - Brand New, Original Box #1","13,,"
drews_solez,2025-04-20 09:15 (UTC),"Jordan 5 ""Oreo"", Size 13, Used No Box","13,,"
drews_solez,2025-04-20 09:13 (UTC),Jordan 5 Retro Mid Oreo,"13,,"
dfwsneakerfan,2025-04-20 08:07 (UTC),SIZE 13M JORDAN 1 RETRO LOW OG BARONS BRAND NEW,"13,,"
dfwsneakerfan,2025-04-20 05:21 (UTC),SIZE 13M NIKE DUNK LOW RETRO GREEN FROST BRAND NEW,"13,,"
theshoegameco,2025-04-20 04:57 (UTC),Jordan 1 High Top OG Craft Celadon SZ 13 #1,"13,,"
dfwsneakerfan,2025-04-20 04:40 (UTC),SIZE 13M NIKE ZOOM LEBRON NXXT GEN EQUITY BRAND NEW,"13,,"
snkrisland,2025-04-20 03:19 (UTC),JORDAN 1 TURBO GREEN [SIZE 13M],"13,,"
dfwsneakerfan,2025-04-20 03:02 (UTC),SIZE 14M NIKE AIR SPAN ATMOSPHERE GREY BRAND NEW,"14,,"
find_curate,2025-04-20 02:59 (UTC),NIKE AIR FORCE 1 HIGH NIKE ID “BLACK TOE” SIZE 14M,"14,,"
dfwsneakerfan,2025-04-20 02:41 (UTC),SIZE 13M JORDAN 1 RETRO LOW OG BARONS BRAND NEW,"13,,"
riverwallkicks,2025-04-20 02:00 (UTC),Jordan 11 cool grey low size 13,"13,,"
jmanskicks,2025-04-20 02:00 (UTC),New balance 574 grey multi size 13,"13,,"
woosleysshoes,2025-04-19 22:51 (UTC),SIZE 14 / JADE HORIZON JORDAN 5 / USED,"14,,"
woosleysshoes,2025-04-19 22:42 (UTC),SIZE 14 / JORDAN 4 FIBA / USED,"14,,"
coolkicks,2025-04-19 22:35 (UTC),Sneaker #37 New Jordan 13 Retro Black Flint SZ: 13M,"13,,"
woosleysshoes,2025-04-19 22:34 (UTC),SIZE 13 / SOLEFLY JORDAN 13 / USED,"13,,"
woosleysshoes,2025-04-19 22:33 (UTC),Jordan 6 Alternate Hare,"13,,"
snkrelites,2025-04-19 17:47 (UTC),Jordan 11 Cool Grey Sz 13 NO BOX,"13,,"
coolkicks,2025-04-19 15:34 (UTC),New Jordan 1 Mid SE Patent Black White Metallic Silver Metallic Gold SZ: 13M #1,"13,,"
aftermarketnyc,2025-04-19 14:18 (UTC),Nike Motiva Sail White Copper Moon,"8w,,"
fitslasneakers,2025-04-19 08:35 (UTC),"NEW JORDAN 1 MID ""YELLOW OCHRE"" #2","13,,"
stewsshoes,2025-04-19 07:01 (UTC),Nike Killshot 2 Leather,"15,,"
stewsshoes,2025-04-19 06:31 (UTC),KATE SPADE STRAWBERRY BAG #8,"8,,"
stewsshoes,2025-04-19 04:28 (UTC),Nike Court Vision Mid Triple Black,"13,,"
stewsshoes,2025-04-19 03:53 (UTC),Nike Dunk SE Low Baltic Blue Total Orange,"13,,"
stewsshoes,2025-04-19 03:23 (UTC),RANDOM PULLS- LISTEN FOR SIZE #80,"N/A ,,"
stewsshoes,2025-04-19 01:27 (UTC),Nike Dunk High Chill Blue,"13,,"
