seller,processed date,model_colorway,size
fitslasneakers,2025-05-03 07:24 (UTC),"MENS 14 $1,326 LOWEST ASK JORDAN 6 RETRO ""QUAI 54""","14,,"
sneakerhustle,2025-05-03 07:17 (UTC),Size 14 (UNRELEASED) Jordan 5 Retro A Ma Maniére Burgundy Crush #4,"14,,"
fitslasneakers,2025-05-03 07:02 (UTC),"MENS 13 $125 RETAIL BRAND NEW JORDAN 1 MID ""YELLOW OCHRE"" #1","13,,"
proconkix23,2025-05-03 06:52 (UTC),Jordan 6 Washed Denim CLEAN,"6W,,"
curtsha35316,2025-05-03 06:45 (UTC),Adidas UltraRun 5,"13,,"
ochypeplug,2025-05-03 05:42 (UTC),NIKE AIR ZOOM PEGASUS USC NEW SIZE 14,"14,,"
fitslasneakers,2025-05-03 05:38 (UTC),"MENS 13 $180 RETAIL JORDAN 1 HIGH ""BLEACHED CORAL""","13,,"
bernkicks,2025-05-03 04:37 (UTC),2017 Air Jordan 11 Retro Low 'Barons' [Size 13M],"13,,"
stewsshoes,2025-05-03 01:49 (UTC),Brandblack Rare Metal 2 Olive Orange,"14,,"
stewsshoes,2025-05-03 00:55 (UTC),Rare Metal 2 Black Vapor,"14,,"
stewsshoes,2025-05-03 00:10 (UTC),Jordan 5 Shattered Backboard,"8,,"
stewsshoes,2025-05-02 23:40 (UTC),Jordan 5 Retro Blue Suede,"14,,"
theshoegameco,2025-05-02 22:04 (UTC),(GS) Nike Dunk Low Panda SZ 7Y/8.5W #1,"7Y,,"
theshoegameco,2025-05-02 22:02 (UTC),Jordan 1 Retro High OG Black Metallic Gold SZ 7Y / 8.5W #7,"7Y,,"
dealz_on_wheelz25,2025-05-02 21:56 (UTC),Brightech Stix LED Tripod Floor Lamp for Living Room MSRP $60,"N/a,,"
theshoegameco,2025-05-02 21:50 (UTC),JORDAN 1 HIGH OG ARTISANAL TEAM RED SZ 7Y / 8.5W #3,"7Y,,"
theshoegameco,2025-05-02 21:46 (UTC),Jordan 1 Retro High Black Toe Reimagined SZ 7Y / 8.5W #1,"7Y,,"
dealz_on_wheelz25,2025-05-02 21:38 (UTC),Chubory A77 Super Enduring Brushless Motor Drone with 84 Mins Super Long MSRP $99,"N/a,,"
lennyzkickz,2025-05-02 21:18 (UTC),"JORDAN OG ""COCONUT MILK"" SIZE 8.5W","8.5W,,"
lennyzkickz,2025-05-02 20:44 (UTC),"NIKE BLAZER MID '77 SUEDE ""HABANERO RED"" SIZE 13M","13,,"
kicksandslabs,2025-05-02 18:49 (UTC),Adidas Campus 00s Purple,"8w,,"
kicksandslabs,2025-05-02 18:43 (UTC),Jordan 12 Retro Dark Grey,"13,,"
woosleysshoes,2025-05-02 18:11 (UTC),SIZE 14 / JORDAN 6 BORDEAUX / USED,"14,,"
woosleysshoes,2025-05-02 17:28 (UTC),1B) 2 PACK SHOE TREES *BLACK SHOE TREES* #11,"11,,"
drews_solez,2025-05-02 08:57 (UTC),RAYMONE,"N/a,,"
rwsbiscuitboy,2025-05-02 07:15 (UTC),ADIDAS HAT BRAND NEW GREY ADJUSTABLE #1,"N/a,,"
rwsbiscuitboy,2025-05-02 07:13 (UTC),14 MEN VULC NO LID NEW #1,"14,,"
rwsbiscuitboy,2025-05-02 07:11 (UTC),NEW 12 MEN VULC NO LID #2,"12,,"
thatgyal,2025-05-02 06:23 (UTC),SZ 14M Jordan 1 Mid Obsidian Sanded Purple #DCE811 💜🤍🖤💜,"14,,"
thatgyal,2025-05-02 06:17 (UTC),SZ 13M Jordan 1 Mid Craft Inside Out Black #DDE912 🖤🖤🤍🤍,"13,,"
skyboxsoles,2025-05-02 06:11 (UTC),Nike Dunk Low Active Fuchsia,"7W,,"
solelidity,2025-05-02 05:20 (UTC),Jordan 1 Low Light Madder Root,"6w,,"
sneakerhustle,2025-05-02 05:14 (UTC),HUSTLE SHOE CLEANER #13,"13,,"
sneakerhustle,2025-05-02 05:14 (UTC),HUSTLE SHOE CLEANER #11,"11,,"
sneakerhustle,2025-05-02 05:12 (UTC),NBA HOLIDAY TEES (LISTEN FOR SIZE/INFO) #70,"N/a,,"
sneakerhustle,2025-05-02 05:03 (UTC),NBA HOLIDAY TEES (LISTEN FOR SIZE/INFO) #55,"N/a,,"
sneakerhustle,2025-05-02 05:01 (UTC),NBA HOLIDAY TEES (LISTEN FOR SIZE/INFO) #52,"N/a,,"
dfwsneakerfan,2025-05-02 04:46 (UTC),SIZE 13M NIKE ZOOM LEBRON NXXT GEN AMPD LIVERPOOL FC BRAND NEW,"13,,"
dfwsneakerfan,2025-05-02 03:38 (UTC),SIZE 13M NIKE AIR FLIGHT '89 BLACK SPORT RED | LU REPLACEMENT BOX,"13,,"
dfwsneakerfan,2025-05-02 03:37 (UTC),SIZE 13M NIKE AIR FLIGHT '89 RED SUEDE | LU REPLACEMENT BOX,"13,,"
dfwsneakerfan,2025-05-02 01:45 (UTC),SIZE 13M NIKE SB DUNK LOW PRM TROCADERO GARDENS BRAND NEW,"13,,"
the_hype_hookup,2025-05-01 23:17 (UTC),Size 14 - Af1 Halloween,"14,,"
the_hype_hookup,2025-05-01 23:07 (UTC),2 pair Bundle,"N/a,,"
the_hype_hookup,2025-05-01 23:03 (UTC),Air Jordan 12 Retro Cool Grey,"12,,"
the_hype_hookup,2025-05-01 23:00 (UTC),Size 13 - Jordan 1 High Electro Orange,"13,,"
the_hype_hookup,2025-05-01 22:55 (UTC),Size 14 - Jordan 4 Toro Bravo,"14,,"
stewsshoes,2025-05-01 21:56 (UTC),Nike Air Max 97 Pink Foam,"13,,"
isellhypestuff,2025-05-01 17:48 (UTC),Jordan 1 Retro High Gorge Green,"12,,"
theshoegameco,2025-05-01 06:10 (UTC),Jordan 4 Craft Olive SZ 8,"8,,"
sneakerhustle,2025-05-01 05:38 (UTC),Size 13 (UNRELEASED) Jordan 5 Retro A Ma Maniére Burgundy Crush #12,"13,,"
rwsbiscuitboy,2025-05-01 05:08 (UTC),13 MEN NO BOX LID CORDURA,"13,,"
theshoegameco,2025-05-01 04:53 (UTC),Adidas Gazelle Navy SZ 13,"13,,"
nickgotkicks27,2025-05-01 04:16 (UTC),Jordan 11 low ie cobalt,"11,,"
rwsbiscuitboy,2025-05-01 02:26 (UTC),Sock #1,"N/a,,"
rwsbiscuitboy,2025-05-01 02:23 (UTC),Jordan 1 Retro Low University Red,"12.5,,"
j_ofthaday,2025-05-01 01:28 (UTC),"jordan 4 oreo, sz 13m og all","13,,"
sneakcity,2025-04-30 19:31 (UTC),SIZE 13 GHOST PHANTOM DUNK LOW,"13,,"
houstonselects,2025-04-30 18:29 (UTC),💖🔥DESIGNER BAG SHOWN ON SCREEN (PLZ SWIPE) ✅ #30,"N/a,,"
woosleysshoes,2025-04-30 17:39 (UTC),SIZE 13M / JORDAN 5 FIRE RED BLACK TONGUE / USED,"13,,"
solesupremacy,2025-04-30 16:05 (UTC),Brandblack Los Angeles Performance Spec,"6w,,"
solesupremacy,2025-04-30 15:47 (UTC),Air Max 1 The Bay,"8,,"
solesupremacy,2025-04-30 15:46 (UTC),Brandblack Bravo Cordura,"7w,,"
rwsbiscuitboy,2025-04-30 07:51 (UTC),Giannis Xmas 13 new #1,"13,,"
dfwsneakerfan,2025-04-30 03:34 (UTC),SIZE 10M NIKE AIR FORCE 1 LOW '07 LV8 DARK STUCCO NEUTRAL OLIVE BN,"8,,"
dfwsneakerfan,2025-04-30 03:24 (UTC),SIZE 13M NIKE AIR FORCE 1 LOW '07 MINT BRAND NEW,"13,,"
dfwsneakerfan,2025-04-30 03:06 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #56,"N/a,,"
dfwsneakerfan,2025-04-30 03:05 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #47,"N/a,,"
dfwsneakerfan,2025-04-30 03:04 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #43,"N/a,,"
dfwsneakerfan,2025-04-30 03:03 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #36,"N/a,,"
dfwsneakerfan,2025-04-30 03:01 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #22,"N/a,,"
dfwsneakerfan,2025-04-30 03:01 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #20,"N/a,,"
dfwsneakerfan,2025-04-30 03:01 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #18,"N/a,,"
dfwsneakerfan,2025-04-30 03:01 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #17,"N/a,,"
dfwsneakerfan,2025-04-30 03:00 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #15,"15,,"
dfwsneakerfan,2025-04-30 02:59 (UTC),#952 SUPREME SOCKS - LISTEN TO THE HOST #9,"9,,"
dfwsneakerfan,2025-04-30 00:56 (UTC),SIZE 13M JORDAN 1 MID REVERSE PANDA BRAND NEW,"13,,"
mtmmisc,2025-04-29 20:07 (UTC),Jordan 11 Retro Low Barons,"13,,"
kicks98110,2025-04-29 18:47 (UTC),Jordan 5 ducks og all,"13,,"
jqsneakers,2025-04-29 18:44 (UTC),5 PACK OF SNEAKER SHOE TREE 100% GUARANTEED SATISFACTION #18,"N/a,,"
jqsneakers,2025-04-29 18:43 (UTC),5 PACK OF SNEAKER SHOE TREE 100% GUARANTEED SATISFACTION #12,"N/a,,"
jqsneakers,2025-04-29 18:41 (UTC),5 PACK OF SNEAKER SHOE TREE 100% GUARANTEED SATISFACTION #6,"N/a,,"
jqsneakers,2025-04-29 18:41 (UTC),1 PACK OF SNEAKER SHOE TREE 100% GUARANTEED SATISFACTION #5,"N/a,,"
jqsneakers,2025-04-29 18:40 (UTC),1 PACK OF SNEAKER SHOE TREE 100% GUARANTEED SATISFACTION #2,"N/a,,"
jqsneakers,2025-04-29 18:35 (UTC),"JORDAN 3 RETRO DESERT ELEPHANT, SZ 13, USED, NO-BOX","13,,"
isellhypestuff,2025-04-29 18:13 (UTC),Jordan 1 low se ceramic olive light curry,"13,,"
isellhypestuff,2025-04-29 18:08 (UTC),FREE BRAND NEW SNEAKERS/SLIDES #9,"9,,"
stewsshoes,2025-04-29 04:02 (UTC),JORDAN 13 OBSIDIAN SIZE 13,"13,,"
stewsshoes,2025-04-29 03:44 (UTC),JORDAN 13 BLACK UNC SIZE 13,"13,,"
stewsshoes,2025-04-29 02:28 (UTC),JORDAN 1 BROTHERHOOD SIZE 13,"13,,"
stewsshoes,2025-04-29 02:03 (UTC),JORDAN 5 BLACK GRAPE SIZE 13,"13,,"
kesoles,2025-04-29 00:55 (UTC),#555 SZ 13M AJ1 LOW SOLEFLY #1,"13,,"
stewsshoes,2025-04-28 23:21 (UTC),RB DS Georgetown Jordan 6 Size 13,"13,,"
kicksfromflorida,2025-04-28 21:30 (UTC),Nike Dunk Dusty Olive Size 14,"14,,"
woosleysshoes,2025-04-28 21:10 (UTC),SIZE 13 / UNION PISTACHIO DUNK LOW / USED,"13,,"
isellhypestuff,2025-04-28 21:06 (UTC),Jordan 10 Retro Orlando Magic,"13,,"
